animal_number,animal_tag_id,animal_life_no,lactation_days,report_date,day_production,rumination_minutes,intake_total,rest_feed,failures,milkings,fat_protein_ratio,scc_indication,refusals,day_production_dev,source_file
115,3087667,DD1442,475,2026-04-01,,0,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
116,3086998,DD1407,368,2026-04-01,,549,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
117,3087338,US DD1775,8,2026-04-01,39.5,473,11.33,0.46,8,3,1.14,,3,16.31,Voice Agent Report Historical 4.2.1.csv
118,3087755,US DD1456,323,2026-04-01,100.1,479,18.27,0.39,2,2,1.34,44,2,-2.43,Voice Agent Report Historical 4.2.1.csv
121,3087395,US DD1700,35,2026-04-01,122.1,482,20.18,0.44,0,4,1.27,99,1,15.21,Voice Agent Report Historical 4.2.1.csv
123,3086581,DD1443,304,2026-04-01,50.9,522,11.99,0.19,0,2,1.54,,1,-5.29,Voice Agent Report Historical 4.2.1.csv
124,3087250,DD1486,212,2026-04-01,76.9,330,15.18,0.2,0,3,1.52,80,0,-6.39,Voice Agent Report Historical 4.2.1.csv
125,3087179,DD1502,339,2026-04-01,43,428,11.78,0.76,0,2,1.24,,0,-0.66,Voice Agent Report Historical 4.2.1.csv
127,3086217,DD1474,196,2026-04-01,61.3,376,12.38,1.76,0,2,1.36,179,2,-1.98,Voice Agent Report Historical 4.2.1.csv
128,3087160,US DD1759,411,2026-04-01,,522,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
131,3087351,US DD1696,27,2026-04-01,123,465,18.27,0.33,0,4,1.13,,0,0.44,Voice Agent Report Historical 4.2.1.csv
132,3087361,DD1311,461,2026-04-01,,488,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
133,3087396,DD1374,222,2026-04-01,70.5,438,13.33,0.54,0,2,1.23,30,0,-4.63,Voice Agent Report Historical 4.2.1.csv
134,3087229,DD1540,151,2026-04-01,68.8,385,12.02,0.32,0,3,1.32,24,0,-0.88,Voice Agent Report Historical 4.2.1.csv
135,3086678,DD1547,444,2026-04-01,,395,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
136,3087368,US DD1819,225,2026-04-01,69,567,11.92,0.21,0,2,1.22,,0,-7.28,Voice Agent Report Historical 4.2.1.csv
137,3087194,US DD1652,4,2026-04-01,41.9,486,4.81,1.17,0,2,1.02,,0,0,Voice Agent Report Historical 4.2.1.csv
138,3086806,US DD1697,569,2026-04-01,38.4,514,13.62,0.14,0,3,1.3,,4,-1.76,Voice Agent Report Historical 4.2.1.csv
139,3087241,DD1445,234,2026-04-01,69.2,519,17.35,0.2,0,3,1.01,,0,6.39,Voice Agent Report Historical 4.2.1.csv
140,3352078,DD1525,247,2026-04-01,55.3,412,14.46,0.25,0,3,1.3,,7,-1.1,Voice Agent Report Historical 4.2.1.csv
142,3086184,DD1376,527,2026-04-01,,619,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
143,3183515,DD1467,230,2026-04-01,90.6,488,17.8,0.41,0,4,1.48,140,3,-2.65,Voice Agent Report Historical 4.2.1.csv
144,3087427,US DD1755,6,2026-04-01,39,412,7.05,0.16,1,3,0.87,,8,1.54,Voice Agent Report Historical 4.2.1.csv
145,3086699,US DD1758,8,2026-04-01,50,477,9.95,0.17,0,4,0.93,,9,12.13,Voice Agent Report Historical 4.2.1.csv
146,3087034,US DD1761,6,2026-04-01,43,547,5.86,1.46,0,2,1,,0,1.1,Voice Agent Report Historical 4.2.1.csv
147,3086154,US DD1604,607,2026-04-01,39.5,487,10.65,1.23,0,2,1.19,114,0,-1.76,Voice Agent Report Historical 4.2.1.csv
148,3087735,DD1535,274,2026-04-01,78.7,533,14.35,0.21,0,3,1.25,568,0,4.19,Voice Agent Report Historical 4.2.1.csv
149,3087997,DD1416,321,2026-04-01,66.1,500,17.14,0.62,0,3,1.3,,1,2.87,Voice Agent Report Historical 4.2.1.csv
151,3086706,DD1489,,2026-04-01,,462,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
152,3353711,DD1484,79,2026-04-01,108.7,509,20.11,0.36,0,3,1.47,,0,1.98,Voice Agent Report Historical 4.2.1.csv
155,3086104,DD1551,284,2026-04-01,58.6,416,10.16,0.13,0,2,1.12,,6,0.44,Voice Agent Report Historical 4.2.1.csv
156,3085889,US DD1607,228,2026-04-01,74.1,516,11.9,4.25,0,2,1.22,,1,-6.83,Voice Agent Report Historical 4.2.1.csv
158,3087680,DD1528,263,2026-04-01,71.2,441,13.97,0.25,0,3,1.14,,4,-2.2,Voice Agent Report Historical 4.2.1.csv
159,3087807,DD1548,287,2026-04-01,86.9,417,16.44,0.25,0,3,1.35,,1,-1.98,Voice Agent Report Historical 4.2.1.csv
162,5926949,DD1482,199,2026-04-01,68.6,420,16.73,0.44,1,3,1.27,41,0,-13.23,Voice Agent Report Historical 4.2.1.csv
163,3352744,US DD1751,19,2026-04-01,67,469,12.56,0.25,0,4,0.92,,5,1.54,Voice Agent Report Historical 4.2.1.csv
164,3542845,US DD1769,0,2026-04-01,24.3,228,2.56,0.77,0,2,0.68,,2,0,Voice Agent Report Historical 4.2.1.csv
165,5925519,US DD1563,279,2026-04-01,50,558,11.29,0.13,0,2,1.39,,0,-8.38,Voice Agent Report Historical 4.2.1.csv
166,5927463,DD1171,461,2026-04-01,,606,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
168,3183540,US DD1568,248,2026-04-01,88.4,496,20.06,0.3,0,3,1.22,197,0,-7.05,Voice Agent Report Historical 4.2.1.csv
172,3351267,DD1505,237,2026-04-01,70.5,466,13.69,0.21,0,3,1.22,,1,-1.76,Voice Agent Report Historical 4.2.1.csv
173,3542711,DD1321,16,2026-04-01,102.3,687,18.99,0.28,0,3,1.19,2137,2,8.38,Voice Agent Report Historical 4.2.1.csv
182,6634654,DD1342,214,2026-04-01,84.7,604,16.07,0.24,0,3,1.49,103,4,-10.58,Voice Agent Report Historical 4.2.1.csv
183,3087417,DD1513,261,2026-04-01,87.7,434,14.25,0.28,0,3,1.21,,0,-2.65,Voice Agent Report Historical 4.2.1.csv
184,3183423,US DD1747,8,2026-04-01,12.8,485,8.54,0.9,7,0,0.76,,0,3.31,Voice Agent Report Historical 4.2.1.csv
185,3087303,US DD1586,233,2026-04-01,65.7,543,14.53,0.27,0,3,1.12,,3,-0.88,Voice Agent Report Historical 4.2.1.csv
186,3087125,US DD1564,241,2026-04-01,81.1,564,16.65,0.33,0,4,1.31,,3,-3.75,Voice Agent Report Historical 4.2.1.csv
188,6632868,US DD1683,513,2026-04-01,,626,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
190,3353629,US DD1432,198,2026-04-01,64.8,542,19.23,0.29,0,4,1.58,85,0,-2.87,Voice Agent Report Historical 4.2.1.csv
191,3183576,US DD1578,23,2026-04-01,25.4,451,4.94,4.23,0,1,1.16,2890,0,-11.24,Voice Agent Report Historical 4.2.1.csv
192,3543451,US DD1686,234,2026-04-01,51.6,458,13.63,0.21,0,3,1.48,3203,1,-3.53,Voice Agent Report Historical 4.2.1.csv
193,6635122,US DD1687,230,2026-04-01,73.6,509,16.96,0.23,0,3,1.67,77,11,-5.95,Voice Agent Report Historical 4.2.1.csv
199,6633146,DD1470,198,2026-04-01,110,428,18.45,1,0,3,1.18,381,0,-5.51,Voice Agent Report Historical 4.2.1.csv
