animal_number,animal_tag_id,animal_life_no,lactation_days,report_date,day_production,rumination_minutes,intake_total,rest_feed,failures,milkings,fat_protein_ratio,scc_indication,refusals,day_production_dev,source_file
1323,3543443,US DD1812,,2026-04-08,,453,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1324,,US DD1813,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1325,,US 1815,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1326,,US DD1326,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1327,,US DD1832,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1328,,US DD1833,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1329,,US DD1835,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1330,,US DD1840,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1331,,US DD1841,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1332,,US DD1842,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1335,,US DD1848,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1336,,US DD1849,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1337,,US DD1851,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1338,,US DD1852,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1339,,US DD1853,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1340,,US DD1855,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1341,,US DD1856,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1342,,US DD1858,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1343,,US 1859,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1344,,US DD1860,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1345,,US DD1861,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1346,,US DD1862,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1347,,US DD1863,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1348,,US DD1864,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1349,,US DD1865,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1350,,US DD1866,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1351,,US DD1867,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1353,,US DD1869,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1354,,US DD1870,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1355,,US DD1872,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1356,,US DD1873,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1357,,US DD1874,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1358,,US DD1875,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1359,,US DD1876,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1360,,US DD1877,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1361,,US DD1878,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1362,,US DD1879,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1363,,US DD1880,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1364,,US DD1882,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1365,,US DD1883,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1366,,US 1884,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1367,,US 1885,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1368,,US DD1886,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1369,,US DD1887,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1370,,US DD1888,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1371,,US DD1889,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1373,,US DD1891,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1374,,US DD1892,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1375,,US 1893,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1376,,US DD1894,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1378,,US DD1896,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1379,,US DD1897,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1380,,US DD1898,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1381,,US DD1899,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1382,,US DD1900,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1383,,US DD1901,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1384,,US DD1902,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1385,,US DD1903,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1386,,US DD1904,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1387,,US DD1905,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1388,,US DD1906,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1389,,US DD907,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1390,,US DD1908,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1391,,US DD1909,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1392,,US DD1910,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1393,,US DD1911,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1394,,US DD1912,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1395,,US DD1913,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1396,,US 1914,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1397,,US DD1915,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1398,,US 1916,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1399,,US DD1917,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1400,,US DD1918,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1401,,US DD1919,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1402,,US DD1920,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1403,,US DD1921,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1404,,US DD1922,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1407,,US DD1925,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1408,,US DD1926,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1410,,US DD1928,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1411,,US DD1929,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1412,,US DD1930,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1413,,US DD193114,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1414,,US DD1932,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1415,,US DD1933,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1416,,DD1934,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1417,,US DD1935,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1418,,US DD1936,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1419,,US DD1937,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1420,,US DD1938,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1421,,US 1939,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1422,,US 1940,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1423,,US 1941,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1424,,US DD1942,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1425,,US 1943,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1426,,US DD 1944,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1427,,US 1945,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1428,,DD1946,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1429,,DD1947,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1430,,US DD1948,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1431,,US DD1949,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1432,,US 1950,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1433,,US DD1951,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1434,,US DD1952,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1435,,US DD1953,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1436,,DD1954,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1437,,DD1793,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1438,,US DD1956,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1439,,US DD1957,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1441,,DD1959,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1442,,US DD1960,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1443,,US DD1961,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1444,,US DD1962,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1445,,USDD1964,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1446,,USDD1965,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1447,,US DD1966,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1449,,USDD1968,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1450,,US DD1969,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1451,,US DD1970,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1452,,US DD1971,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1453,,US DD1972,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1454,,US DD1973,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1456,,US DD1975,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1457,,US DD1976,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1458,,US DD1977,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1459,,US 1978,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1460,,US DD1979,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1461,,US DD1980,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1462,,USDD1981,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1463,,US DD1982,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1464,,US DD1983,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1465,,US DD1984,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1466,,US DD1985,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1467,,US 1986,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1468,,US 1987,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1469,,US DD1988,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1470,,US DD1989,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1471,,US DD1990,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1472,,US DD1991,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1473,,DD 1992,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1474,,US DD1993,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1475,,US 1994,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1476,,US DD1995,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1477,,US DD1996,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1478,,US DD1997,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1479,,US DD1998,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1480,,US DD1999,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1481,,US DD2000,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1482,,US DD2001,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1485,,US DD2004,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1486,,US D2005,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1487,,US DD2006,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1488,,US DD2007,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1489,,US DD2008,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1490,,US DD2009,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1491,,DD2010,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1492,,US DD2011,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1493,,US DD2012,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1494,,US DD2013,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1497,,US 2015,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1498,,US DD2017,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1499,,US DD2018,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1500,,US DD2019,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1501,,US DD2020,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1502,,US DD2021,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
1503,,US DD2022,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
20042,,,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
20047,,,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
20049,,,,2026-04-08,,,,,,,,,,,Voice Agent Report Historical 4.8.7.csv
2,3086479,US DD1654,20,2026-04-09,61.7,412,9.74,0.18,0,2,1.02,,1,4.41,Voice Agent Report Historical 4.10.9.csv
3,3086603,US 1744,17,2026-04-09,60.6,498,11.57,0.26,0,3,1.1,,8,5.73,Voice Agent Report Historical 4.10.9.csv
4,3086632,US DD1724,28,2026-04-09,26.2,135,5.6,1.77,0,1,1.65,848,0,-5.07,Voice Agent Report Historical 4.10.9.csv
6,3087355,DD1449,325,2026-04-09,82.7,382,20.36,0.45,0,5,1.32,30,9,-14.55,Voice Agent Report Historical 4.10.9.csv
7,3087274,DD1542,274,2026-04-09,45.9,468,11.57,0.13,0,2,1.71,,2,-6.83,Voice Agent Report Historical 4.10.9.csv
10,3086174,US DD1571,268,2026-04-09,51.8,456,8.25,0.11,0,2,1.4,,4,-13.89,Voice Agent Report Historical 4.10.9.csv
12,3086327,US DD1752,,2026-04-09,,,,,,,,,,,Voice Agent Report Historical 4.10.9.csv
13,3086569,US DD1602,218,2026-04-09,56.2,403,11.01,0.18,0,2,1.24,836,3,-5.95,Voice Agent Report Historical 4.10.9.csv
14,3087979,DD1332,202,2026-04-09,66.6,498,16.55,0.37,0,4,1.23,36,2,-10.8,Voice Agent Report Historical 4.10.9.csv
15,3087121,DD1546,282,2026-04-09,47,321,14.39,0.22,0,3,1.41,,2,-7.5,Voice Agent Report Historical 4.10.9.csv
16,3087866,DD1357,225,2026-04-09,55.8,357,13.26,0.21,0,3,1.18,,6,-3.53,Voice Agent Report Historical 4.10.9.csv
17,3086731,US DD1660,334,2026-04-09,76.7,434,18.99,0.27,0,4,1.27,,0,-7.94,Voice Agent Report Historical 4.10.9.csv
20,3086114,DD1558,149,2026-04-09,50.5,395,14.25,0.24,0,3,1.21,,2,-2.2,Voice Agent Report Historical 4.10.9.csv
21,3087503,DD1420,286,2026-04-09,76.9,439,18.04,0.39,0,4,1.48,39,1,-7.72,Voice Agent Report Historical 4.10.9.csv
22,3087348,DD1022,291,2026-04-09,25.8,396,5.18,2.8,0,1,1.59,130,1,-4.85,Voice Agent Report Historical 4.10.9.csv
23,3087231,DD1471,366,2026-04-09,47.6,491,15.45,0.22,0,3,1.47,,9,-17.64,Voice Agent Report Historical 4.10.9.csv
24,3086116,DD1490,125,2026-04-09,72.8,381,16.79,0.26,0,3,1.23,97,1,-18.3,Voice Agent Report Historical 4.10.9.csv
25,3087364,US DD1567,280,2026-04-09,21.6,202,9.45,0.11,0,2,1.88,,3,-13.23,Voice Agent Report Historical 4.10.9.csv
26,3087118,DD1478,244,2026-04-09,66.4,353,18.87,0.28,0,4,1.45,33,5,-37.04,Voice Agent Report Historical 4.10.9.csv
27,3087387,US DD1655,6,2026-04-09,27.8,407,4.17,2.2,0,1,1.25,91,0,1.98,Voice Agent Report Historical 4.10.9.csv
28,3087460,DD1380,158,2026-04-09,52.5,474,13.27,0.16,0,3,1.33,51,0,-6.83,Voice Agent Report Historical 4.10.9.csv
29,3086671,DD1595,289,2026-04-09,47.6,340,10.48,0.14,0,2,1.1,27,1,-9.26,Voice Agent Report Historical 4.10.9.csv
30,3087392,US DD1646,,2026-04-09,,,,,,,,,,,Voice Agent Report Historical 4.10.9.csv
31,3087281,DD1394,107,2026-04-09,73.9,294,17.98,0.32,1,4,1.09,162,1,-14.99,Voice Agent Report Historical 4.10.9.csv
32,3087545,DD1494,108,2026-04-09,97.4,440,16.85,0.4,0,4,1.19,10,8,-11.68,Voice Agent Report Historical 4.10.9.csv
34,3086177,DD1364,57,2026-04-09,62.2,357,13.1,0.29,0,3,1.33,2507,5,-1.76,Voice Agent Report Historical 4.10.9.csv
35,3087215,DD1400,381,2026-04-09,,632,,,,,,,,,Voice Agent Report Historical 4.10.9.csv
37,3087451,US DD1768,359,2026-04-09,48.3,485,15.8,0.21,0,3,1.63,,4,-9.7,Voice Agent Report Historical 4.10.9.csv
39,6642027,US DD1662,485,2026-04-09,,523,,,,,,,,,Voice Agent Report Historical 4.10.9.csv
40,3087510,DD1397,137,2026-04-09,75.8,360,18.45,0.35,0,4,1.16,204,3,-16.53,Voice Agent Report Historical 4.10.9.csv
41,3087391,DD1514,277,2026-04-09,72.5,430,16.08,0.22,0,3,1.3,,1,-7.05,Voice Agent Report Historical 4.10.9.csv
42,3087165,DD1262,145,2026-04-09,33.7,381,7.86,0.07,0,2,1.27,,3,18.52,Voice Agent Report Historical 4.10.9.csv
43,3086557,US DD1675,50,2026-04-09,65.7,406,14.05,0.24,0,3,1.17,612,0,-18.08,Voice Agent Report Historical 4.10.9.csv
45,3086129,DD1462,334,2026-04-09,,446,,,,,,,,,Voice Agent Report Historical 4.10.9.csv
46,3351614,DD1415,233,2026-04-09,74.1,454,16.85,0.36,0,4,1.3,2314,3,-14.77,Voice Agent Report Historical 4.10.9.csv
47,3087308,DD1495,47,2026-04-09,129,507,20.12,0.6,0,5,0.99,34,58,-12.13,Voice Agent Report Historical 4.10.9.csv
48,3087565,DD1534,242,2026-04-09,53.8,350,13.97,0.21,0,3,1.33,,16,-7.94,Voice Agent Report Historical 4.10.9.csv
49,3086283,DD1488,366,2026-04-09,,501,,,,,,,,,Voice Agent Report Historical 4.10.9.csv
50,3086511,DD1503,267,2026-04-09,58.4,490,12.28,0.16,0,3,1.36,,4,-7.94,Voice Agent Report Historical 4.10.9.csv
52,3087406,DD1733,16,2026-04-09,74.3,431,15.94,0.59,0,5,1.07,,10,1.32,Voice Agent Report Historical 4.10.9.csv
53,3086247,DD1508,273,2026-04-09,80.7,432,15,0.2,0,3,1.19,18,1,-3.09,Voice Agent Report Historical 4.10.9.csv
55,3183487,DD1510,281,2026-04-09,39.9,300,8.4,0.12,0,2,1.37,,5,-2.65,Voice Agent Report Historical 4.10.9.csv
56,3086452,DD1453,228,2026-04-09,40.8,308,11.9,2.68,0,2,1.58,,0,-13.89,Voice Agent Report Historical 4.10.9.csv
57,3087322,DD1285,135,2026-04-09,71,324,14.67,0.27,0,3,1.35,,0,-9.7,Voice Agent Report Historical 4.10.9.csv
58,3086115,US DD1766,375,2026-04-09,62.6,525,15.65,0.24,0,3,1.31,135,0,-6.61,Voice Agent Report Historical 4.10.9.csv
59,3087697,US DD1767,388,2026-04-09,9.7,392,2.56,0.98,0,1,2.26,,0,-13.23,Voice Agent Report Historical 4.10.9.csv
60,3087116,US DD1640,10,2026-04-09,35.7,426,11.29,0.84,17,1,1.15,,4,-1.98,Voice Agent Report Historical 4.10.9.csv
61,3086148,DD1550,262,2026-04-09,48.1,326,14.39,0.19,0,3,1.44,,19,-8.82,Voice Agent Report Historical 4.10.9.csv
62,3087292,US DD1627,194,2026-04-09,86.9,529,18.51,0.45,0,5,1.3,11,18,-9.92,Voice Agent Report Historical 4.10.9.csv
63,3086272,DD1423,329,2026-04-09,53.1,406,11.79,0.26,2,2,1.44,456,0,-5.95,Voice Agent Report Historical 4.10.9.csv
64,3087236,US DD1624,5,2026-04-09,0.2,332,3.53,2.28,2,0,1.65,,0,0,Voice Agent Report Historical 4.10.9.csv
66,3087248,DD1170,104,2026-04-09,80,216,17.26,0.56,4,2,1.28,23,1,-12.35,Voice Agent Report Historical 4.10.9.csv
67,3086685,US DD1707,10,2026-04-09,51.6,347,16.01,0.19,0,4,1.14,,14,2.65,Voice Agent Report Historical 4.10.9.csv
69,3087141,DD1473,322,2026-04-09,75.2,367,16.25,0.31,0,4,1.27,28,17,-20.94,Voice Agent Report Historical 4.10.9.csv
71,3087258,DD1447,371,2026-04-09,79.6,389,17.26,0.41,0,5,1.49,63,28,-16.98,Voice Agent Report Historical 4.10.9.csv
72,3087950,DD1501,57,2026-04-09,87.1,305,16.25,0.34,0,4,1.06,22,3,-2.65,Voice Agent Report Historical 4.10.9.csv
73,3542905,DD1328,198,2026-04-09,69,406,13.87,0.21,0,3,1.28,916,2,-8.6,Voice Agent Report Historical 4.10.9.csv
74,3087864,US DD1559,262,2026-04-09,54,497,14.04,0.15,0,3,1.36,,15,-4.19,Voice Agent Report Historical 4.10.9.csv
75,3088111,US DD1583,223,2026-04-09,19,109,7.48,3.33,0,2,1.34,,1,-27.78,Voice Agent Report Historical 4.10.9.csv
76,3087596,DD1349,461,2026-04-09,62.4,370,13.93,0.26,0,3,1.5,89,3,-1.32,Voice Agent Report Historical 4.10.9.csv
77,3086851,DD1365,49,2026-04-09,67,483,13.63,0.2,0,3,1.66,,1,4.19,Voice Agent Report Historical 4.10.9.csv
78,3087494,DD1435,72,2026-04-09,84.2,295,16.61,0.27,0,3,1.15,2571,3,-14.55,Voice Agent Report Historical 4.10.9.csv
80,3086149,DD1406,330,2026-04-09,54.9,361,16.73,0.27,0,4,1.42,2135,19,-3.09,Voice Agent Report Historical 4.10.9.csv
81,3087668,US DD1574,254,2026-04-09,59.3,378,12.77,0.18,0,3,1.31,,12,-7.28,Voice Agent Report Historical 4.10.9.csv
82,3087220,DD1523,283,2026-04-09,23.1,498,6,6.74,0,1,1.45,,0,-16.31,Voice Agent Report Historical 4.10.9.csv
83,6641288,DD1426,212,2026-04-09,83.1,494,17.08,0.26,0,4,1.27,86,2,-10.8,Voice Agent Report Historical 4.10.9.csv
84,3086109,US DD1565,253,2026-04-09,72.1,379,15.38,0.32,0,4,1.19,,12,-24.03,Voice Agent Report Historical 4.10.9.csv
86,3087212,US DD1610,286,2026-04-09,45.6,357,9.03,0.39,0,2,1.28,,12,-7.28,Voice Agent Report Historical 4.10.9.csv
87,3087609,DD1522,298,2026-04-09,52.9,395,5.01,0.21,0,2,1.72,,18,-23.59,Voice Agent Report Historical 4.10.9.csv
88,3087586,US DD1608,15,2026-04-09,60.6,403,11.08,0.26,0,3,1.24,,6,1.98,Voice Agent Report Historical 4.10.9.csv
89,3087349,US DD1763,314,2026-04-09,63.9,468,11.67,1.25,0,2,1.32,110,1,-11.46,Voice Agent Report Historical 4.10.9.csv
90,3087156,DD1599,9,2026-04-09,49.6,467,10.58,0.13,0,3,1.07,,3,13.67,Voice Agent Report Historical 4.10.9.csv
91,3087334,US DD1396,456,2026-04-09,52.9,303,12.32,0.22,0,3,1.48,97,47,-8.38,Voice Agent Report Historical 4.10.9.csv
92,3087516,DD1433,186,2026-04-09,83.3,339,20.36,0.31,0,4,1.19,828,2,-9.04,Voice Agent Report Historical 4.10.9.csv
93,3086243,DD1425,337,2026-04-09,67.2,481,12.98,0.2,0,3,1.34,21,8,-8.6,Voice Agent Report Historical 4.10.9.csv
94,3087594,DD1476,195,2026-04-09,67,451,15.12,1.99,0,3,1.17,201,2,-6.83,Voice Agent Report Historical 4.10.9.csv
95,3086498,DD1493,281,2026-04-09,57.3,425,14.64,0.26,0,3,1.63,,5,-10.36,Voice Agent Report Historical 4.10.9.csv
96,3087977,DD1196,230,2026-04-09,67.9,474,15.54,0.27,0,3,1.22,42,0,-7.28,Voice Agent Report Historical 4.10.9.csv
97,3088051,DD1373,480,2026-04-09,0,423,,,0,0,,,5,0,Voice Agent Report Historical 4.10.9.csv
98,3087882,DD1487,113,2026-04-09,99.4,378,16.85,0.28,0,3,1.25,10,0,-19.62,Voice Agent Report Historical 4.10.9.csv
99,3352005,US DD1585,245,2026-04-09,52.2,420,11.36,0.13,0,2,1.4,,4,-8.16,Voice Agent Report Historical 4.10.9.csv
