"","","Attention","","","","","",""
"Animal Number","Animal Tag Id","Sensor","Value","Severeness","Sick Chance","Activity","Disease Name","Lactation day category"
"47","3087308","Fat Protein Ratio<br/>","1.00  <br/>","<span style='width:18%'class='severnesslinebar'></span><br/>","","","Metritis","I"
"234","6635136","","","","","","Dryoff","IV"
"250","6635110","","","","","","Female infertility","IV"
"72","3087950","Fat Protein Ratio<br/>","0.92  <br/>","<span style='width:43%'class='severnesslinebar'></span><br/>","","","BRSV vaccination","II"
"125","3087179","","","","","","Female infertility","V"
"50","3086511","","","","","","Female infertility","IV"
"77","3086851","Milk Temperature<br/>Fat Protein Ratio<br/>Conductivity LF<br/>","104.9  <br/>1.60  <br/>93    <br/>","<span style='width:75%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/>","x","","Acute Mastitis (acute catarrhal mastitis)","I"
"172","3351267","","","","","","Mastitis vaccination","IV"
"220","6633304","","","","","","Vaccinations","V"
"213","6635043","","","","","","BRSV vaccination","IV"
"53","3086247","","","","","","BRSV vaccination","IV"
"55","3183487","","","","","","BRSV vaccination","IV"
"214","6635135","","","","","","Vaccinations","V"
"1141","","","","","","","",""
"183","3087417","","","","","","Female infertility","IV"
"41","3087391","","","","","","Metritis","IV"
"808","3087269","","","","","","Female infertility","IV"
"87","3087609","Milk Temperature<br/>","103.1  <br/>","<span style='width:25%'class='severnesslinebar'></span><br/>","","","Vaccinations","IV"
"82","3087220","Time Away<br/>","28:45 <br/>","<span style='width:25%'class='severnesslinebar'></span><br/>","","","Vaccinations","IV"
"803","5927959","","","","","","Female infertility","IV"
"140","3352078","","","","","","BRSV vaccination","IV"
"158","3087680","Milk Drop<br/>","-9.4  <br/>","<span style='width:25%'class='severnesslinebar'></span><br/>","","","Female infertility","IV"
"1157","","","","","","","",""
"206","3543433","","","","","","BRSV vaccination","IV"
"1162","","","","","","","BRSV vaccination",""
"804","3087379","Conductivity LR<br/>","91    <br/>","<span style='width:37%'class='severnesslinebar'></span><br/>","","","Female infertility","V"
"48","3087565","","","","","","Vaccinations","IV"
"148","3087735","Milk Temperature<br/>","104.9  <br/>","<span style='width:75%'class='severnesslinebar'></span><br/>","","","Vaccinations","IV"
"262","6634652","","","","","","BRSV vaccination","IV"
"1169","","","","","","","BRSV vaccination",""
"134","3087229","","","","","","Metritis","III"
"7","3087274","","","","","","Vaccinations","IV"
"207","3086128","","","","","","BRSV vaccination","IV"
"1174","","","","","","","BRSV vaccination",""
"15","3087121","","","","","","Metritis","IV"
"135","3086678","","","","","","Vaccinations","V"
"159","3087807","","","","","","BRSV vaccination","IV"
"61","3086148","","","","","","BRSV vaccination","IV"
"155","3086104","","","","","","BRSV vaccination","IV"
"1183","","","","","","","BRSV vaccination",""
"1184","","","","","","","",""
"106","3087159","","","","","","Female infertility",""
"20","3086114","","","","","","Female infertility","III"
"74","3087864","","","","","","Female infertility","IV"
"264","6633230","","","","","","BRSV vaccination","IV"
"165","5925519","","","","","","Female infertility","IV"
"186","3087125","","","","","","Vaccinations","IV"
"84","3086109","","","","","","Female infertility","IV"
"25","3087364","Activity(rumination)<br/>Milk Drop<br/>","88    <br/>-11.4  <br/>","<span style='width:18%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>","","","Metritis","IV"
"168","3183540","","","","","","Female infertility","IV"
"1200","","","","","","","",""
"1201","","","","","","","",""
"10","3086174","Milk Temperature<br/>","102.5  <br/>","<span style='width:6%'class='severnesslinebar'></span><br/>","","","Vaccinations","IV"
"345","3184368","Conductivity LF<br/>Fat Protein Ratio<br/>","116   <br/>1.03  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/>","","","","I"
"263","6634659","Activity(rumination)<br/>Milk Drop<br/>","70    <br/>-9.7  <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:31%'class='severnesslinebar'></span><br/>","x","","BRSV vaccination","III"
"99","3352005","","","","","","Vaccinations","IV"
"185","3087303","Conductivity LR<br/>","93    <br/>","<span style='width:12%'class='severnesslinebar'></span><br/>","","","Female infertility","IV"
"1219","","","","","","","",""
"1220","","","","","","","",""
"1222","","","","","","","",""
"1223","","","","","","","",""
"90","3087156","Fat Protein Ratio<br/>","1.03  <br/>","<span style='width:6%'class='severnesslinebar'></span><br/>","","","","I"
"13","3086569","","","","","","Female infertility","IV"
"255","6635055","","","","","","Female infertility","III"
"147","3086154","","","","","","Female infertility","V"
"1226","","","","","","","",""
"156","3085889","Milk Temperature<br/>","102.5  <br/>","<span style='width:6%'class='severnesslinebar'></span><br/>","","","BRSV vaccination","IV"
"88","3087586","","","","","","","I"
"86","3087212","Milk Temperature<br/>","102.5  <br/>","<span style='width:6%'class='severnesslinebar'></span><br/>","","","Vaccinations","IV"
"109","3353222","","","","","","Vaccinations","IV"
"1230","","","","","","","",""
"252","6641942","Fat Protein Ratio<br/>","1.04  <br/>","<span style='width:6%'class='severnesslinebar'></span><br/>","","","","I"
"1234","","","","","","","",""
"1236","","","","","","","",""
"1237","","","","","","","",""
"1238","","","","","","","",""
"64","3087236","Fresh cow performance<br/>","64    <br/>","<span style='width:43%'class='severnesslinebar'></span><br/>","","","","I"
"346","3183472","Conductivity LF<br/>Fat Protein Ratio<br/>","93    <br/>1.44  <br/>","<span style='width:43%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>","","","Mastitis vaccination","I"
"1242","","","","","","","",""
"1243","","","","","","","Female infertility",""
"1245","","","","","","","",""
"204","5925507","Fat Protein Ratio<br/>","1.00  <br/>","<span style='width:18%'class='severnesslinebar'></span><br/>","","","","I"
"1247","","","","","","","",""
"1248","","","","","","","",""
"1249","","","","","","","",""
