"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Conductivity","","","","","","","","","","","",""
"173","3542711","DD1321","2026-04-07","23","83.8","22","1","","2.9","3.7","1.14","0","83.8","-20.7","[A] Blood |  [A]  |  [A]  |  [A] Mastitis","2026-04-06","","","15.89","0.28","2069","","","","","","","","","71","77","84","71","101.5","494","0","","11","632","102","103","South Milking Cows"
"73","3542905","DD1328","2026-04-07","197","70.8","315","8","","3.1","3.0","1.45","0","70.8","-7.9","- |  - |  - |  -","","","","16.43","0.22","316","Off sync program","Vet ck-open,fol left,stat right,offsync, Vet ck-open,fol left,stat right,offsync","2026-03-20","6","","2","2026-03-20","Not Pregnant","64","69","64","65","104.2","494","0","","-2","436","101","103","South Milking Cows"
"14","3087979","DD1332","2026-04-07","201","66.8","364","5","","2.3","3.1","1.20","0","66.8","-11.7","- |  - |  - |  -","","","","14.82","0.38","38","Pregnant","Vet ck-preg,twins reck 120D","2026-02-20","114","","1","2026-02-20","Pregnant","65","67","67","0","102.2","494","0","","10","506","102","103","South Milking Cows"
"182","6634654","DD1342","2026-04-07","221","79.1","454","7","","3.0","3.3","1.61","0","79.1","-8.2","- |  - |  - |  -","","","","16.96","0.23","338","Pregnant","Vet ck-preg","2026-02-20","114","","2","2026-02-20","Pregnant","66","70","65","0","102.9","494","0","x","13","567","101","103","South Milking Cows"
"76","3087596","DD1349","2026-04-07","460","58.6","439","14","","2.6","2.7","1.53","0","58.6","-5.5","- |  - |  - |  -","","","","15.83","0.18","99","Pregnant","Vet ck-PG","2026-03-20","70","","8","2026-03-20","Pregnant","63","64","61","71","102.6","494","0","x","14","530","102","103","South Milking Cows"
"110","3087310","DD1351","2026-04-07","250","79.6","90","9","","4.0","3.9","1.49","0","79.6","-10.6","- |  - |  - |  -","","","","18.33","0.41","172","Fertility cycling","Vet ck-57+DIM-LC right,lut,offsync in 3 days if no heat","2026-02-20","14","","2","","","0","66","64","69","102.0","494","0","","13","513","102","103","South Milking Cows"
"16","3087866","DD1357","2026-04-07","224","56.2","84","6","","2.5","2.4","1.20","0","56.2","-3.5","- |  - |  - |  -","","","","16.86","0.19","","Fertility cycling","Vet ck-75+DIM-Cl left,stat right, lut","2026-02-20","43","","1","","","73","75","75","0","102.0","494","0","","14","516","103","3","North Milking Cows"
"34","3086177","DD1364","2026-04-07","56","65.0","159","24","x","1.5","1.7","1.22","0","65.0","-0.4","- |  - |  - |  -","","","","15.54","0.29","2237","Dirty cow","","2026-02-21","","","","","","0","71","82","0","97.3","494","0","","13","397","101","103","South Milking Cows"
"77","3086851","DD1365","2026-04-07","48","63.5","77","2","","2.3","2.4","1.52","0","63.5","1.5","[M] Mastitis |  [M]  |  [M]  |  [M] ","2026-04-06","x","","18.75","0.43","2721","Dirty cow","","2026-03-20","","","","","","92","67","64","0","103.8","494","0","x","6","521","101","103","South Milking Cows"
"97","3088051","DD1373","","479","","141","92","x","3.0","","0.00","96","","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2026-01-16","182","","6","2026-01-16","Pregnant","0","68","78","0","98.6","494","0","","14","454","101","1","Default"
"133","3087396","DD1374","2026-04-07","229","65.7","776","4","","1.8","2.1","1.22","0","65.7","-6.2","- |  - |  - |  -","","","","11.96","0.70","39","Fertility cycling","Vet ck-reck-clean,Cl left,lut","2025-11-21","43","","3","","","63","63","61","63","101.1","494","0","","13","431","102","103","South Milking Cows"
"142","3086184","DD1376","","534","","688","12","","2.1","1.3","1.98","2","","-5.7","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","246","","8","2025-09-19","Pregnant","81","74","71","66","98.8","494","0","x","11","501","102","8","Dry Cows"
"28","3087460","DD1380","2026-04-07","157","55.6","143","1","","2.7","2.4","1.35","0","55.6","-4.4","- |  - |  - |  -","","","","11.07","0.12","52","Female infertility","Vet ck-75+DIM-cyst right,offsync","2026-02-20","13","","","","","0","68","67","0","102.6","494","0","","5","435","102","103","South Milking Cows"
"31","3087281","DD1394","2026-04-07","106","83.6","60","5","","3.6","3.9","1.18","0","83.6","-7.5","- |  - |  - |  -","","","","17.86","0.36","162","","","","25","","1","","","66","72","66","68","101.1","494","0","","7","327","102","103","South Milking Cows"
"40","3087510","DD1397","2026-04-07","136","85.8","311","4","","2.5","3.1","1.24","0","85.8","-8.6","- |  - |  - |  -","","","","15.60","0.29","381","","","","9","","","","","70","72","68","71","104.2","494","0","","11","508","101","103","South Milking Cows"
"35","3087215","DD1400","","380","","258","80","","2.5","1.6","1.61","0","","0.9","- |  - |  - |  -","","","","","","79","Pregnant","Vet ck-pg","2025-09-19","258","","2","2025-09-19","Pregnant","64","65","66","64","100.6","494","0","x","6","549","104","8","Dry Cows"
"111","3086497","DD1402","2026-04-07","354","69.7","276","26","","2.9","2.9","1.46","2","69.7","-5.7","- |  - |  - |  -","","","","14.05","0.21","184","Not Pregnant","Vet ck-preg ck-open,Stat left,stat right, off sync","2025-08-15","9","","3","2025-08-15","Not Pregnant","74","68","69","71","102.0","494","0","","10","570","102","103","South Milking Cows"
"80","3086149","DD1406","2026-04-07","329","56.7","104","60","","3.1","2.7","1.33","1","56.7","-2.4","- |  - |  - |  -","","","","13.93","0.36","763","Pregnant","Vet ck-preg","2026-02-20","115","","5","2026-02-20","Pregnant","70","0","79","71","102.2","494","0","","5","350","102","103","South Milking Cows"
"116","3086998","DD1407","","375","","298","5","","2.8","1.4","1.40","0","","-2.9","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","267","x","1","2025-09-19","Pregnant","79","79","80","77","98.6","494","0","","12","455","101","8","Dry Cows"
"246","3086605","DD1411","","448","","470","15","","2.7","1.4","1.29","2","","8.8","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","264","x","2","2025-09-19","Pregnant","70","68","70","69","101.1","494","0","","2","462","103","8","Dry Cows"
"205","5925505","DD1413","2026-04-07","257","47.8","203","11","","2.5","2.4","1.50","0","47.8","-6.8","- |  - |  - |  -","2025-10-12","","","15.52","0.24","","Metritis","Vet ck-reck-clean","2025-09-20","39","","3","","","0","68","63","61","102.6","494","0","","16","511","103","3","North Milking Cows"
"46","3351614","DD1415","2026-04-07","232","79.6","344","5","","2.4","3.6","1.27","0","79.6","-11.2","- |  - |  - |  -","2026-04-06","","","17.32","0.32","251","Pregnant","Vet ck-pg","2026-01-16","129","","2","2026-01-16","Pregnant","66","67","67","86","101.7","494","0","","14","499","102","103","South Milking Cows"
"149","3087997","DD1416","2026-04-07","328","56.2","276","20","","2.6","2.6","1.41","0","56.2","-6.8","- |  - |  - |  -","","","","12.06","0.26","","Pregnant","Vet ck-Pg","2025-11-21","186","","1","2025-11-21","Pregnant","69","70","73","69","99.3","494","0","","17","467","104","3","North Milking Cows"
"21","3087503","DD1420","2026-04-07","285","73.4","276","9","","2.8","2.9","1.52","0","73.4","-12.3","- |  - |  - |  -","","","","14.52","0.25","31","Pregnant","Vet ck-preg","2026-02-20","94","","4","2026-02-20","Pregnant","73","80","77","78","101.7","494","0","x","13","460","102","103","South Milking Cows"
"63","3086272","DD1423","2026-04-07","328","53.1","77","15","","3.2","3.0","1.48","3","53.1","-6.6","- |  - |  - |  -","","","","14.58","0.25","256","Pregnant","Vet ck-preg","2026-02-20","115","","3","2026-02-20","Pregnant","86","66","66","95","103.1","494","0","","14","450","101","103","South Milking Cows"
"93","3086243","DD1425","2026-04-07","336","67.9","110","176","","3.2","3.7","1.35","0","67.9","-9.3","- |  - |  - |  -","","","","18.10","0.26","29","Off sync program","","2026-02-23","34","","6","2026-02-20","Not Pregnant","78","72","71","72","102.2","494","0","","0","582","102","103","South Milking Cows"
"83","6641288","DD1426","2026-04-07","211","83.3","236","10","","2.9","3.6","1.32","0","83.3","-11.9","- |  - |  - |  -","","","","12.50","0.22","63","Not Pregnant","vet ck-open,Fol left,stat right,watch,offsync if no heat by Mon.","2026-03-20","6","","3","2026-03-20","Not Pregnant","64","66","64","65","102.0","494","0","","5","534","102","103","South Milking Cows"
"92","3087516","DD1433","2026-04-07","185","83.8","395","7","","2.9","2.7","1.24","0","83.8","-9.3","- |  - |  - |  -","","","","15.48","0.21","800","Pregnant","Vet ck-preg","2026-02-20","94","","2","2026-02-20","Pregnant","0","78","78","76","103.3","494","0","","11","453","101","103","South Milking Cows"
"78","3087494","DD1435","2026-04-07","71","89.7","40","1","","3.1","3.4","1.19","0","89.7","-11.2","[M]  |  [M]  |  [M]  |  [M] ","","x","","14.17","0.28","2163","","","","","","","","","65","65","72","83","102.9","494","0","","17","493","101","103","South Milking Cows"
"103","3087255","DD1438","2026-04-07","23","91.9","7","1","","4.0","4.4","1.23","0","91.9","-31.7","- |  - |  - |  -","","","","20.00","0.51","83","","","","","","","","","0","68","66","66","103.1","494","0","","13","584","102","103","South Milking Cows"
"211","6641911","DD1440","2026-04-07","344","81.3","190","20","","3.1","3.4","1.42","5","81.3","-11.0","- |  - |  - |  -","","","","18.84","0.34","","Off sync program","","2026-02-23","35","","4","2026-01-16","Not Pregnant","71","71","73","71","102.9","494","0","","7","452","103","3","North Milking Cows"
"271","6642304","DD1441","2026-04-07","158","62.8","159","5","","2.5","2.3","1.46","0","62.8","-9.5","- |  - |  - |  -","","","","11.96","2.16","91","Metritis","Vet ck-dirty-clean,offsync","2026-02-20","9","","1","","","68","73","67","69","101.1","494","0","","12","360","101","103","South Milking Cows"
"115","3087667","DD1442","2026-04-07","5","63.3","0","0","","3.0","3.0","1.03","0","63.3","1.5","- |  - |  - |  -","","","","7.56","0.11","42","","","","","","","","","0","0","69","69","102.7","494","0","","11","513","102","103","South Milking Cows"
"123","3086581","DD1443","2026-04-07","311","46.7","478","6","","2.7","1.9","1.58","1","46.7","-4.4","- |  - |  - |  -","","","","13.12","1.55","","Pregnant","Vet ck-pg","2025-12-19","170","","1","2025-12-19","Pregnant","70","69","69","84","101.7","494","0","x","7","534","103","3","North Milking Cows"
"1063","","DD1444","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Not Pregnant","Vet ck-open","2023-09-01","1015","","1","2023-09-01","Not Pregnant","","","","","","494","","","","","","11","Young stock"
"139","3087241","DD1445","2026-04-07","241","50.7","659","2","","2.6","2.6","1.23","6","50.7","-11.5","- |  - |  - |  -","","","","10.02","0.11","","Pregnant","Vet ck-pg,twins,reck @ 120D","2025-12-19","171","","1","2025-12-19","Pregnant","74","77","76","76","101.1","494","0","","0","293","104","3","North Milking Cows"
"268","6641401","DD1446","2026-04-07","299","70.5","108","17","","3.7","4.0","1.18","0","70.5","-13.7","- |  - |  - |  -","","","","17.50","0.37","74","Pregnant","Vet ck-preg","2026-02-20","121","","3","2026-02-20","Pregnant","63","64","63","64","100.9","494","0","","12","489","102","103","South Milking Cows"
"71","3087258","DD1447","2026-04-07","370","83.1","137","15","","3.7","4.3","1.49","5","83.1","-15.7","- |  - |  - |  -","","","","19.29","0.42","60","Dirty cow","Vet ck-Fresh,dirty,vac,lut,10,1 mo.","2025-05-17","50","","6","","","66","66","64","66","102.2","494","0","","14","404","101","103","South Milking Cows"
"6","3087355","DD1449","2026-04-07","324","84.2","337","6","","2.7","3.1","1.38","0","84.2","-14.1","- |  - |  - |  -","","","","18.63","0.37","35","Fertility cycling","Vet ck-pg-open,stat left,CL right,lut, Vet ck-pg-open,stat left,CL right,lut","2026-02-20","43","","3","2026-02-20","Not Pregnant","63","63","61","61","102.6","494","0","","14","390","102","103","South Milking Cows"
"56","3086452","DD1453","2026-04-07","227","45.9","606","5","","2.1","2.0","1.47","0","45.9","-10.1","- |  - |  - |  -","","","","12.32","3.32","148","Pregnant","Vet ck-pg","2026-01-16","151","","1","2026-01-16","Pregnant","64","68","71","72","102.7","494","0","","13","401","102","103","South Milking Cows"
"222","6632589","DD1455","2026-04-07","236","79.1","146","4","","2.8","3.4","1.51","2","79.1","-12.6","- |  - |  - |  -","","","","20.06","0.38","513","","","","41","","4","","","83","69","67","68","102.6","494","0","x","13","417","101","103","South Milking Cows"
"1081","","DD1459","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","494","","","","","","11","Young stock"
"45","3086129","DD1462","","333","","99","4","","2.7","1.9","1.44","0","","-5.3","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","259","x","1","2025-09-19","Pregnant","72","71","77","72","96.6","494","0","","13","380","104","8","Dry Cows"
"269","6642024","DD1463","2026-04-07","1","48.7","0","0","","1.0","1.0","1.34","1","48.7","-3.3","[M]  |  [M] Colostrum |  [M] Blood |  [M] Colostrum","","x","","1.37","0.83","","","","","","","","","","80","81","77","78","102.2","494","0","","5","305","101","103","South Milking Cows"
"143","3183515","DD1467","2026-04-07","237","80.2","355","8","","3.0","3.7","1.58","1","80.2","-8.6","- |  - |  - |  -","","","","19.11","0.43","77","Fertility cycling","Vet ck-57+DIM-stat left,CL right, lut, offsync in 3 days if no heat","2026-02-20","20","","2","","","70","71","71","70","102.4","494","0","x","24","523","102","103","South Milking Cows"
"199","6633146","DD1470","2026-04-07","205","97.2","710","22","","2.8","3.0","1.32","1","97.2","-10.4","- |  - |  - |  -","","","","19.35","0.25","709","Pregnant","Vet ck-preg","2026-02-20","113","","1","2026-02-20","Pregnant","62","67","64","66","103.8","494","0","","13","499","101","103","South Milking Cows"
"23","3087231","DD1471","2026-04-07","365","52.0","126","9","","3.9","3.3","1.52","1","52.0","-15.0","- |  - |  - |  -","","","","15.94","0.23","","Pregnant","Vet ck-Pg","2025-11-21","197","","1","2025-11-21","Pregnant","60","60","61","62","102.2","494","0","x","-1","530","103","3","North Milking Cows"
"69","3087141","DD1473","2026-04-07","321","84.4","238","15","","3.3","4.4","1.31","2","84.4","-14.3","- |  - |  - |  -","","","","20.36","0.39","41","Pregnant","Vet ck-preg","2026-02-20","121","","3","2026-02-20","Pregnant","75","67","67","67","102.2","494","0","","13","388","102","103","South Milking Cows"
"127","3086217","DD1474","2026-04-07","203","56.4","516","6","","1.9","2.0","1.32","0","56.4","-4.2","- |  - |  - |  -","","","","11.79","0.15","146","Not Pregnant","Vet ck-pg-open,cyst right, off sync","2026-02-20","9","","2","2026-02-20","Not Pregnant","69","67","70","66","103.1","494","0","","5","466","101","103","South Milking Cows"
"94","3087594","DD1476","2026-04-07","194","69.4","659","4","","2.0","2.4","1.24","0","69.4","-5.5","- |  - |  - |  -","","","","19.76","0.31","135","Female infertility","Vet ck-57+DIM-stat left stat right, offsync","2026-02-20","6","","1","","","68","68","65","66","103.1","494","0","","12","599","101","103","South Milking Cows"
"26","3087118","DD1478","2026-04-07","243","73.0","243","146","","2.9","2.6","1.27","2","73.0","-34.0","- |  - |  - |  -","2025-10-27","","","18.21","0.34","26","Pregnant","Vet ck-pg","2025-12-19","159","","3","2025-12-19","Pregnant","65","67","64","0","102.7","494","7","","7","249","101","103","South Milking Cows"
"108","3542732","DD1479","2026-04-07","235","84.4","445","17","","2.5","2.6","1.37","0","84.4","-12.3","- |  - |  - |  -","","","","17.14","0.24","36","Pregnant","Vet ck-preg","2026-02-20","106","","1","2026-02-20","Pregnant","67","70","68","69","101.5","494","0","","6","423","102","103","South Milking Cows"
"202","3087167","DD1480","2026-04-07","102","69.4","302","6","","2.6","2.3","1.43","2","69.4","-19.8","- |  - |  - |  -","","","","21.31","0.29","1156","","","","65","","","","","68","69","68","68","103.3","494","12","","13","289","101","103","South Milking Cows"
"162","5926949","DD1482","2026-04-07","206","72.5","106","51","","2.7","3.0","1.33","0","72.5","-6.2","- |  - |  - |  -","","","","14.94","0.25","21","Pregnant","Vet ck-preg","2026-02-20","106","","1","2026-02-20","Pregnant","71","75","71","71","102.7","494","0","","29","492","101","103","South Milking Cows"
"152","3353711","DD1484","2026-04-07","86","93.5","203","15","","2.5","3.3","1.56","0","93.5","-10.8","- |  - |  - |  -","","","","21.38","0.43","","","","","20","","1","","","65","67","67","65","101.1","494","0","x","12","408","104","3","North Milking Cows"
"1108","","DD1485","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","494","","","","","","11","Young stock"
"124","3087250","DD1486","2026-04-07","219","68.3","150","13","","2.8","3.0","1.60","0","68.3","-9.0","- |  - |  - |  -","","","","12.92","0.18","38","Pregnant","Vet ck-pg","2026-01-16","132","","1","2026-01-16","Pregnant","64","66","64","64","101.5","494","0","x","13","197","102","103","South Milking Cows"
"98","3087882","DD1487","2026-04-07","112","108.2","353","1","","3.1","2.9","1.22","0","108.2","-13.2","- |  - |  - |  -","","","","11.90","4.03","12","","","","9","","2","","","69","72","72","72","103.1","494","0","","13","585","102","103","South Milking Cows"
"49","3086283","DD1488","","365","","174","8","","3.0","2.0","1.31","0","","-2.6","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","267","x","1","2025-09-19","Pregnant","66","65","68","66","101.5","494","0","","13","427","103","8","Dry Cows"
"151","3086706","DD1489","","","0.0","","0","","","","0.00","0","0.0","0.0","- |  - |  - |  -","","","","","","","Female infertility","Vet ck-fertility ck-watch for heat","2025-09-19","110","","1","","","","","","","","494","0","","8","307","","1","Default"
"24","3086116","DD1490","2026-04-07","124","75.6","84","8","","3.3","3.3","1.24","0","75.6","-17.4","- |  - |  - |  -","","","","15.89","0.30","86","Fertility cycling","Vet ck-75+DIM-Cl left,stat right, lut","2026-02-20","22","","2","","","70","75","69","70","101.5","494","0","","4","434","102","103","South Milking Cows"
"95","3086498","DD1493","2026-04-07","280","58.2","320","21","","3.1","2.6","1.65","0","58.2","-11.5","- |  - |  - |  -","2025-10-29","","","14.94","0.21","210","Pregnant","Vet ck-Pg","2025-11-21","196","","1","2025-11-21","Pregnant","67","67","63","66","103.3","494","0","x","14","469","101","103","South Milking Cows"
"32","3087545","DD1494","2026-04-07","107","102.3","57","7","","3.7","4.1","1.20","0","102.3","-8.2","- |  - |  - |  -","","","","16.25","0.38","10","","","","39","","1","","","60","63","57","59","102.7","494","0","","13","573","101","103","South Milking Cows"
"47","3087308","DD1495","2026-04-07","46","122.8","26","4","","4.4","4.4","1.05","0","122.8","-20.3","- |  - |  - |  -","","","","22.32","0.70","36","Dirty cow","","2026-03-20","","","","","","65","66","63","67","102.9","494","0","","13","618","101","103","South Milking Cows"
"234","6635136","DD1496","2026-04-07","197","82.0","137","5","","3.0","3.9","1.31","0","82.0","-7.5","- |  - |  - |  -","","","","16.01","0.29","51","Pregnant","Vet ck-preg","2026-02-20","107","","1","2026-02-20","Pregnant","64","66","64","65","102.0","494","0","","13","525","102","103","South Milking Cows"
"250","6635110","DD1500","2026-04-07","245","50.9","187","5","","2.1","2.3","1.40","1","50.9","-4.6","- |  - |  - |  -","","","","13.62","0.24","","Off sync program","","2026-01-19","9","","2","2025-12-19","Not Pregnant","69","71","73","71","102.0","494","0","","6","535","103","3","North Milking Cows"
"72","3087950","DD1501","2026-04-07","56","89.5","46","2","","2.6","2.6","1.03","0","89.5","-0.4","- |  - |  - |  -","","","","14.64","0.24","27","","","","8","","","","","72","71","73","71","103.3","494","0","","8","348","101","103","South Milking Cows"
"125","3087179","DD1502","2026-04-07","346","38.1","247","17","","2.6","1.9","1.34","0","38.1","-3.3","- |  - |  - |  -","","","","10.51","1.16","","Pregnant","Vet ck-Pg","2025-11-21","201","","1","2025-11-21","Pregnant","68","67","68","66","102.2","494","0","","13","445","103","3","North Milking Cows"
"50","3086511","DD1503","2026-04-07","266","61.9","79","55","","3.1","3.0","1.40","0","61.9","-5.3","- |  - |  - |  -","","","","14.32","0.19","","Pregnant","Vet ck-PG","2026-03-20","70","","3","2026-03-20","Pregnant","69","0","71","67","102.0","494","0","","16","562","103","3","North Milking Cows"
"172","3351267","DD1505","2026-04-07","244","45.9","187","3","","2.9","2.7","1.30","0","45.9","-19.2","- |  - |  - |  -","","","","12.63","0.43","","Pregnant","Vet ck-pg","2026-01-16","149","","1","2026-01-16","Pregnant","67","69","69","70","101.7","494","0","","4","337","103","3","North Milking Cows"
"220","6633304","DD1506","","418","","108","70","","2.9","1.9","1.62","1","","-4.2","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","246","","3","2025-09-19","Pregnant","68","61","63","62","101.3","494","0","x","14","445","103","1","Default"
"213","6635043","DD1507","2026-04-07","266","63.1","121","10","","3.0","3.0","1.35","0","63.1","-9.0","- |  - |  - |  -","","","","15.31","0.27","","Pregnant","Vet ck-PG","2026-03-20","59","","4","2026-03-20","Pregnant","64","63","66","64","100.6","494","0","","22","573","104","3","North Milking Cows"
"53","3086247","DD1508","2026-04-07","272","81.8","146","15","","2.9","2.9","1.26","0","81.8","-2.0","- |  - |  - |  -","","","","13.33","0.34","18","Pregnant","Vet ck-PG","2026-03-20","65","","4","2026-03-20","Pregnant","68","69","68","68","102.0","494","0","","8","576","102","103","South Milking Cows"
"55","3183487","DD1510","2026-04-07","280","39.0","229","6","","2.4","2.0","1.35","0","39.0","-4.0","- |  - |  - |  -","","","","10.72","0.89","","Pregnant","Vet ck-pg","2025-12-19","159","","1","2025-12-19","Pregnant","67","69","70","71","102.7","494","0","","14","377","103","3","North Milking Cows"
"214","6635135","DD1511","2026-04-07","298","59.3","115","3","","3.6","3.1","1.38","0","59.3","-10.6","- |  - |  - |  -","","","","17.07","0.26","","Pregnant","Vet ck-pg","2025-12-19","163","","2","2025-12-19","Pregnant","70","70","70","70","102.9","494","0","","14","446","103","3","North Milking Cows"
"1141","","DD1512","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","494","","","","","","11","Young stock"
"183","3087417","DD1513","2026-04-07","268","72.3","119","13","","3.3","3.6","1.41","0","72.3","-14.1","- |  - |  - |  -","","","","16.16","0.29","","Pregnant","Vet ck-preg","2026-02-20","96","","3","2026-02-20","Pregnant","70","71","71","70","102.0","494","0","","12","487","103","3","North Milking Cows"
