"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Conductivity","","","","","","","","","","","",""
"41","3087391","DD1514","2026-04-13","282","71.4","289","3","","2.5","3.1","1.27","2","71.4","-4.0","- |  - |  - |  -","","","","12.49","0.23","","Pregnant","Vet ck-pg","2026-01-16","155","","2","2026-01-16","Pregnant","65","66","67","69","99.7","469","0","","-4","511","104","3","North Milking Cows"
"808","3087269","DD1521","2026-04-13","243","54.9","176","9","","2.7","3.0","1.34","0","54.9","-6.2","- |  - |  - |  -","","","","13.26","0.20","","Pregnant","Vet ck-preg","2026-02-20","112","","2","2026-02-20","Pregnant","64","65","66","64","102.0","469","0","","9","490","103","3","North Milking Cows"
"87","3087609","DD1522","2026-04-13","303","55.8","179","27","","3.8","2.0","1.68","2","55.8","-7.5","- |  - |  - |  -","","","","4.87","0.08","","Pregnant","","2025-10-17","224","","1","2025-10-17","Pregnant","71","72","70","71","102.2","469","0","x","12","546","103","3","North Milking Cows"
"82","3087220","DD1523","2026-04-13","288","38.8","375","5","","2.6","1.4","1.57","0","38.8","2.6","- |  - |  - |  -","","","","10.86","1.16","","Pregnant","Vet ck-pg","2025-12-19","188","","1","2025-12-19","Pregnant","74","76","75","78","100.6","469","0","x","7","577","104","3","North Milking Cows"
"803","5927959","DD1524","2026-04-13","263","57.5","825","0","","1.8","2.0","1.28","0","57.5","1.3","- |  - |  - |  -","","","","14.46","0.20","","Off sync program","","2026-02-23","41","","1","","","74","72","72","72","102.6","469","0","","3","615","103","3","North Milking Cows"
"140","3352078","DD1525","2026-04-13","260","52.2","161","8","","2.6","2.9","1.35","4","52.2","0.0","- |  - |  - |  -","","","","13.40","0.23","","Pregnant","Vet ck-pg","2025-12-19","176","","2","2025-12-19","Pregnant","66","67","66","64","100.9","469","0","","2","415","103","3","North Milking Cows"
"158","3087680","DD1528","2026-04-13","276","57.8","123","19","","3.2","3.0","1.18","1","57.8","-2.6","- |  - |  - |  -","","","","13.62","0.25","","Pregnant","Vet ck-preg","2026-02-20","114","","2","2026-02-20","Pregnant","62","64","64","63","100.8","469","0","","13","477","103","3","North Milking Cows"
"1157","","DD1529","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"206","3543433","DD1530","2026-04-13","263","47.6","174","29","","2.6","2.1","1.50","1","47.6","-2.0","- |  - |  - |  -","","","","12.86","0.24","71","Pregnant","Vet ck-Pg","2025-11-21","192","","1","2025-11-21","Pregnant","59","66","60","61","","469","0","x","13","519","102","103","South Milking Cows"
"1162","","DD1533","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"48","3087565","DD1534","2026-04-13","247","54.5","179","13","","2.7","3.0","1.26","5","54.5","-3.1","- |  - |  - |  -","","","","13.90","0.20","","Pregnant","Vet ck-pg","2025-12-19","180","","1","2025-12-19","Pregnant","64","67","65","65","101.5","469","0","","2","460","103","3","North Milking Cows"
"148","3087735","DD1535","2026-04-13","287","67.7","357","20","","2.8","3.1","1.27","0","67.7","-0.2","- |  - |  - |  -","","","","11.85","0.21","105","Pregnant","Vet ck-Pg","2025-11-21","206","","1","2025-11-21","Pregnant","62","64","63","63","102.0","469","0","","14","479","102","103","South Milking Cows"
"262","6634652","DD1537","2026-04-13","292","51.4","267","4","","2.0","2.4","1.34","0","51.4","-2.4","- |  - |  - |  -","","","","11.50","0.85","","Pregnant","Vet ck-preg","2026-02-20","118","","4","2026-02-20","Pregnant","66","67","67","67","98.4","469","0","","-2","442","104","3","North Milking Cows"
"1169","","DD1539","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"134","3087229","DD1540","2026-04-13","164","58.9","110","5","","3.0","3.3","1.23","0","58.9","-2.9","- |  - |  - |  -","","","","16.01","0.38","4","Metritis","Vet ck-reck/dirty-clean","2025-12-19","19","","2","","","64","68","68","69","99.0","469","0","","0","494","102","103","South Milking Cows"
"7","3087274","DD1542","2026-04-13","279","46.3","364","13","","2.1","2.1","1.72","0","46.3","-2.2","- |  - |  - |  -","","","","11.92","0.12","","Pregnant","Vet ck-Pg","2025-11-21","204","","2","2025-11-21","Pregnant","70","71","71","69","101.5","469","0","x","0","550","103","3","North Milking Cows"
"207","3086128","DD1543","2026-04-13","266","50.3","245","21","","2.8","2.7","1.15","0","50.3","-12.3","- |  - |  - |  -","","","","13.97","0.17","","Pregnant","Vet ck-Pg","2025-11-21","204","","1","2025-11-21","Pregnant","69","76","69","74","100.6","469","0","","5","556","104","3","North Milking Cows"
"1174","","DD1544","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"15","3087121","DD1546","2026-04-13","287","46.7","161","25","","2.4","2.6","1.39","0","46.7","-3.1","- |  - |  - |  -","","","","11.64","0.17","","Pregnant","Vet ck-pg","2025-12-19","175","","2","2025-12-19","Pregnant","69","73","76","70","100.0","469","0","","5","424","103","108","Main"
"135","3086678","DD1547","","457","","269","199","","2.5","","0.00","81","","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-Pg","2025-11-21","206","","3","2025-11-21","Pregnant","91","80","82","88","99.0","469","0","","0","487","103","1","Default"
"159","3087807","DD1548","2026-04-13","300","71.4","137","9","","3.6","3.9","1.42","0","71.4","-3.5","- |  - |  - |  -","","","","16.72","0.30","","","","","57","","1","","","70","72","71","71","100.6","469","0","","4","465","103","3","North Milking Cows"
"61","3086148","DD1550","2026-04-13","267","49.6","88","31","","2.7","2.7","1.38","0","49.6","-2.9","- |  - |  - |  -","","","","13.69","0.22","","Pregnant","Vet ck-pg","2026-01-16","148","","4","2026-01-16","Pregnant","64","0","62","65","100.4","469","0","","15","470","104","3","North Milking Cows"
"155","3086104","DD1551","2026-04-13","297","47.6","150","68","","3.4","2.9","1.20","1","47.6","-1.8","- |  - |  - |  -","","","","8.25","0.16","","Pregnant","Vet ck-Pg","2025-11-21","203","","2","2025-11-21","Pregnant","76","66","63","63","101.7","469","0","","4","439","103","3","North Milking Cows"
"1183","","DD1553","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"20","3086114","DD1558","2026-04-13","154","50.7","282","12","","1.9","2.6","1.26","0","50.7","-0.7","- |  - |  - |  -","","","","10.37","0.21","","Female infertility","Vet ck-75+DIM-Fol left,stat right,off sync","2026-02-21","26","","1","","","71","74","74","72","101.3","469","0","","8","497","103","3","North Milking Cows"
"29","3086671","DD1595","2026-04-13","294","51.1","187","4","","2.6","2.4","1.22","0","51.1","-2.2","- |  - |  - |  -","","","","10.18","0.15","27","Pregnant","Vet ck-pg","2026-01-16","132","","2","2026-01-16","Pregnant","62","61","59","62","102.7","469","0","","7","396","101","103","South Milking Cows"
"90","3087156","DD1599","2026-04-13","14","54.5","11","0","","2.4","3.1","1.06","2","54.5","3.5","- |  - |  - |  -","","","","12.56","0.16","","","","","","","","","","72","70","72","72","100.6","469","0","","6","588","104","3","North Milking Cows"
"52","3087406","DD1733","2026-04-13","21","63.3","11","8","","3.0","4.0","0.90","1","63.3","-6.2","- |  - |  - |  -","","","","10.86","1.30","","Metritis","","2026-03-31","","","","","","69","70","70","69","99.9","469","0","x","9","444","103","3","North Milking Cows"
"1437","","DD1793","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1416","","DD1934","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1428","","DD1946","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1429","","DD1947","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1436","","DD1954 ","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1441","","DD1959","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1491","","DD2010","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","9","Drinking Calves"
"1111","","NL 1235469870","","","","","","","","","0.00","","","","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","108","Main"
"1272","","US 1703","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1286","","US 1734","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg ck-160D","2025-12-19","276","x","1","2025-12-19","Pregnant","","","","","","469","","","","","","11","Young stock"
"266","6640786","US 1738","2026-04-13","29","63.5","13","3","","2.6","3.1","1.08","0","63.5","3.5","- |  - |  - |  -","","","","11.50","0.24","","","","","","","","","","70","71","71","72","100.8","469","0","","10","547","104","3","North Milking Cows"
"1291","","US 1741","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg ck-150D","2025-12-19","266","x","1","2025-12-19","Pregnant","","","","","","469","","","","","","11","Young stock"
"3","3086603","US 1744","2026-04-13","22","59.1","20","3","","2.3","3.1","1.02","0","59.1","0.4","- |  - |  - |  -","","","","11.92","0.34","","","","","","","","","","65","65","67","64","100.2","469","0","","0","527","104","3","North Milking Cows"
"1294","","US 1745","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"215","6641856","US 1788","2026-04-13","34","77.2","11","4","","3.3","4.4","1.00","2","77.2","-0.7","- |  - |  - |  -","","","","13.33","0.23","","","","","","","","","","71","71","72","73","100.8","469","0","","1","548","104","3","North Milking Cows"
"1317","","US 1789","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1318","","US 1790","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1325","","US 1815","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1343","","US 1859","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1366","","US 1884","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1367","","US 1885","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1375","","US 1893","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1396","","US 1914","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1398","","US 1916","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1421","","US 1939","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1422","","US 1940","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1423","","US 1941","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1425","","US 1943","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1427","","US 1945","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1432","","US 1950","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1459","","US 1978","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1467","","US 1986","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1468","","US 1987","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1475","","US 1994","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1497","","US 2015","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","9","Drinking Calves"
"1486","","US D2005","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","9","Drinking Calves"
"1426","","US DD 1944","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1326","","US DD1326","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"804","3087379","US DD1393","2026-04-13","416","32.0","159","19","","3.3","2.9","1.26","3","32.0","-3.3","- |  - |  - |  -","","","","10.30","0.12","54","Off sync program","","2026-02-23","1","","4","2026-02-20","Not Pregnant","68","90","83","78","100.4","469","0","","1","403","102","103","South Milking Cows"
"91","3087334","US DD1396","2026-04-13","461","50.5","137","20","","3.9","3.1","1.42","0","50.5","-5.7","- |  - |  - |  -","","","","12.74","0.26","33","Pregnant","Vet ck-pg","2026-01-16","158","","7","2026-01-16","Pregnant","67","72","68","69","101.1","469","0","","2","412","101","103","South Milking Cows"
"190","3353629","US DD1432","2026-04-13","211","58.4","115","9","","3.4","3.0","1.46","0","58.4","-1.5","- |  - |  - |  -","","","","12.98","0.24","93","Female infertility","Vet ck-57+DIM-cyst left,Cl right, lut","2026-02-20","12","","1","","","67","64","66","0","102.2","469","0","","0","478","101","103","South Milking Cows"
"118","3087755","US DD1456","2026-04-13","336","80.7","168","20","","3.2","4.0","1.30","0","80.7","-6.2","- |  - |  - |  -","","","","17.68","0.39","64","Pregnant","Vet ck-pg","2026-01-16","137","","2","2026-01-16","Pregnant","88","73","77","74","88.3","469","0","","10","521","102","103","South Milking Cows"
"1184","","US DD1554","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"106","3087159","US DD1556","","","0.0","","0","","","","0.00","0","0.0","0.0","- |  - |  - |  -","","","","","","","Fertility cycling","Vet ck-pg ck-open,stat left, Cl right,lut, Vet ck-pg ck-open,stat left, Cl right,lut","2025-11-21","57","","2","2025-11-21","Not Pregnant","","","","","","469","0","","0","240","","1","Default"
"74","3087864","US DD1559","2026-04-13","267","57.1","300","32","","2.9","2.7","1.41","0","57.1","0.9","- |  - |  - |  -","","","","13.90","0.19","","Off sync program","","2025-10-21","26","","5","","","66","66","67","66","100.6","469","0","","-1","513","104","3","North Milking Cows"
"264","6633230","US DD1560","2026-04-13","280","46.7","117","3","","2.6","2.3","1.38","0","46.7","-1.1","- |  - |  - |  -","","","","9.45","0.11","","Pregnant","Vet ck-pg","2026-01-16","138","","2","2026-01-16","Pregnant","67","68","69","69","100.0","469","0","","7","538","104","3","North Milking Cows"
"165","5925519","US DD1563","2026-04-13","292","52.7","179","105","","2.7","2.7","1.28","0","52.7","-0.2","- |  - |  - |  -","","","","10.79","0.12","","Off sync program","","2026-02-23","41","","5","2026-02-20","Not Pregnant","68","64","65","64","101.7","469","0","","1","522","104","108","Main"
"186","3087125","US DD1564","2026-04-13","254","62.4","106","6","","3.9","4.0","1.28","0","62.4","-9.3","- |  - |  - |  -","","","","14.60","0.20","","Pregnant","Vet ck-Pg","2025-11-21","203","","1","2025-11-21","Pregnant","71","71","71","83","101.8","469","0","","8","555","103","108","Main"
"84","3086109","US DD1565","2026-04-13","258","76.3","117","19","","3.4","4.0","1.14","3","76.3","-10.4","- |  - |  - |  -","","","","14.74","0.22","","Fertility cycling","vet ck-open,CL left,stat right,lut, vet ck-open,CL left,stat right,lut","2026-03-20","22","","3","2026-03-20","Not Pregnant","69","69","70","69","99.7","469","0","","9","461","104","3","North Milking Cows"
"25","3087364","US DD1567","2026-04-13","285","29.1","123","9","","2.8","2.4","1.36","0","29.1","-0.9","- |  - |  - |  -","","","","7.55","0.11","","Pregnant","Vet ck-Pg","2025-11-21","200","","1","2025-11-21","Pregnant","74","77","74","74","98.4","469","0","","-3","319","103","108","Main"
"168","3183540","US DD1568","2026-04-13","261","83.3","258","6","","3.0","3.9","1.12","0","83.3","0.9","- |  - |  - |  -","","","","15.60","0.37","76","Off sync program","","2026-02-23","40","","2","2026-02-20","Not Pregnant","76","79","76","78","103.3","469","0","","14","518","101","108","Main"
"1200","","US DD1569","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg ck-50D","2025-12-19","166","","1","2025-12-19","Pregnant","","","","","","469","","","","","","108","Main"
"1201","","US DD1570","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","108","Main"
"10","3086174","US DD1571","2026-04-13","273","53.1","146","11","","3.2","2.0","1.33","0","53.1","-4.0","- |  - |  - |  -","","","","5.50","0.06","","Pregnant","Vet ck-Pg","2025-11-21","219","","1","2025-11-21","Pregnant","71","69","70","70","100.0","469","0","","11","523","104","108","Main"
"345","3184368","US DD1572","2026-04-13","21","50.5","22","91","x","1.6","1.1","1.23","5","50.5","9.7","- |  - |  - |  -","","","","12.35","0.28","","","","","","","","","","0","0","72","0","97.2","469","0","","2","566","103","108","Main"
"263","6634659","US DD1573","2026-04-13","158","28.4","227","17","","2.3","2.3","1.26","0","28.4","-6.0","- |  - |  - |  -","","","","13.97","0.19","","","","","19","","1","","","67","67","70","67","102.6","469","0","","10","351","103","3","North Milking Cows"
"81","3087668","US DD1574","2026-04-13","259","57.8","64","51","","3.0","3.3","1.38","0","57.8","-3.3","- |  - |  - |  -","","","","17.07","0.28","","Pregnant","Vet ck-PG","2026-03-20","75","","2","2026-03-20","Pregnant","70","71","72","71","99.9","469","0","","7","458","104","3","North Milking Cows"
"1207","","US DD1576","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg 90D,heifer calf","2026-03-20","115","","1","2026-03-20","Pregnant","","","","","","469","","","","","","11","Young stock"
"191","3183576","US DD1578","2026-04-13","36","44.3","95","1","","1.8","1.9","1.12","0","44.3","3.5","- |  - |  - |  -","2026-04-06","","","12.02","1.70","296","Dirty cow","","2026-03-20","","","","","","65","72","65","67","102.2","469","0","","0","477","102","103","South Milking Cows"
"1213","","US DD1582","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","","2026-03-20","266","x","1","2026-03-20","Pregnant","","","","","","469","","","","","","11","Young stock"
"75","3088111","US DD1583","2026-04-13","228","34.2","185","19","","2.8","2.1","1.42","0","34.2","-0.7","- |  - |  - |  -","","","","10.86","0.86","","Off sync program","","2026-02-23","26","","4","2026-02-20","Not Pregnant","75","0","0","76","102.6","469","0","","7","580","103","3","North Milking Cows"
"99","3352005","US DD1585","2026-04-13","250","53.6","179","10","","2.6","2.9","1.33","1","53.6","-2.2","- |  - |  - |  -","","","","15.38","0.23","","Pregnant","Vet ck-pg","2025-12-19","184","","1","2025-12-19","Pregnant","62","63","62","62","100.2","469","0","","-2","522","103","3","North Milking Cows"
"185","3087303","US DD1586","2026-04-13","246","45.2","207","69","x","2.5","2.3","1.16","0","45.2","-8.4","- |  - |  - |  -","","","","17.35","0.31","","Pregnant","Vet ck-preg,twins reck 120D","2026-02-20","111","","2","2026-02-20","Pregnant","0","0","67","0","93.2","469","0","","-2","557","103","3","North Milking Cows"
"1219","","US DD1589","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1220","","US DD1590","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg ck-150D","2025-12-19","266","x","1","2025-12-19","Pregnant","","","","","","469","","","","","","11","Young stock"
"1222","","US DD1600","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1223","","US DD1601","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"13","3086569","US DD1602","2026-04-13","223","51.4","117","26","","3.0","3.0","1.20","2","51.4","-5.1","- |  - |  - |  -","","","","15.30","0.30","836","Female infertility","Vet ck-fert ck-watch for heat","2026-01-16","64","","1","","","81","78","0","81","102.0","469","0","","0","532","101","103","South Milking Cows"
"255","6635055","US DD1603","2026-04-13","146","60.6","106","4","","2.9","2.7","1.36","1","60.6","-4.2","- |  - |  - |  -","","","","14.96","0.23","","Fertility cycling","Vet ck-stat left,CL right, lut","2026-03-20","3","","1","","","63","70","64","64","100.4","469","0","","3","625","104","3","North Milking Cows"
"147","3086154","US DD1604","2026-04-13","620","33.1","240","16","","2.5","2.1","1.08","0","33.1","-2.6","- |  - |  - |  -","","","","10.12","1.46","","Pregnant","Vet ck-preg","2026-02-20","129","","5","2026-02-20","Pregnant","77","70","69","70","100.0","469","0","","9","540","102","103","South Milking Cows"
"1226","","US DD1605","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"156","3085889","US DD1607","2026-04-13","241","76.3","560","8","","3.1","3.1","1.25","1","76.3","-1.8","- |  - |  - |  -","","","","15.71","0.29","212","","","","64","","3","","","70","74","71","71","102.0","469","0","","5","529","102","103","South Milking Cows"
"88","3087586","US DD1608","2026-04-13","20","58.4","13","1","","2.8","3.7","1.20","2","58.4","-0.7","- |  - |  - |  -","","","","12.84","0.34","","","","","","","","","","67","71","68","68","100.6","469","0","","-3","441","103","3","North Milking Cows"
"86","3087212","US DD1610","2026-04-13","291","44.8","126","8","","2.8","2.0","1.27","0","44.8","-2.4","- |  - |  - |  -","","","","6.00","0.05","","Pregnant","Vet ck-Pg","2025-11-21","218","","1","2025-11-21","Pregnant","60","61","61","59","100.6","469","0","","0","490","104","3","North Milking Cows"
"109","3353222","US DD1611","2026-04-13","254","49.6","212","11","","2.4","2.6","1.30","0","49.6","-2.2","- |  - |  - |  -","","","","11.29","0.13","","Not Pregnant","Vet ck-pg ck-Open,CL left,stat right","2026-01-16","18","","4","2026-01-16","Not Pregnant","61","61","60","60","102.6","469","0","","6","558","103","3","North Milking Cows"
"1230","","US DD1614","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"252","6641942","US DD1617","2026-04-13","20","74.1","24","4","","3.2","4.3","1.05","0","74.1","4.6","- |  - |  - |  -","","","","14.11","0.30","","","","","","","","","","71","72","72","72","99.5","469","0","","1","490","104","3","North Milking Cows"
"1234","","US DD1619","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1236","","US DD1621","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1237","","US DD1622","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1238","","US DD1623","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"64","3087236","US DD1624","2026-04-13","10","9.3","20","10","x","1.4","1.0","1.52","0","9.3","-5.3","- |  - |  - |  -","","","","6.84","2.81","","","","","","","","","","0","84","80","0","100.2","469","0","x","8","493","103","3","North Milking Cows"
"346","3183472","US DD1625","2026-04-13","24","64.8","15","24","x","2.1","2.4","0.95","0","64.8","2.9","- |  - |  - |  -","","","","15.87","0.34","","","","","","","","","","0","0","0","0","","469","0","x","0","542","103","3","North Milking Cows"
"62","3087292","US DD1627","2026-04-13","199","85.3","351","13","","3.1","4.0","1.40","0","85.3","-3.5","- |  - |  - |  -","","","","17.50","0.39","11","Fertility cycling","Vet ck-pg ck-open, CL left,stat right, lut","2026-03-20","26","","2","","","70","76","69","71","102.6","469","0","","12","539","101","103","South Milking Cows"
"1243","","US DD1629","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg 55D","2026-03-20","80","","1","2026-03-20","Pregnant","","","","","","469","","","","","","11","Young stock"
"1242","","US DD1630","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg ck-140D","2025-12-19","256","","1","2025-12-19","Pregnant","","","","","","469","","","","","","11","Young stock"
"1245","","US DD1633","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg ck-130D","2025-12-19","246","","1","2025-12-19","Pregnant","","","","","","469","","","","","","11","Young stock"
"204","5925507","US DD1634","2026-04-13","15","64.8","7","1","","2.6","2.9","0.96","1","64.8","3.5","- |  - |  - |  -","","","","16.30","0.24","","","","","","","","","","71","72","71","72","101.7","469","0","x","4","559","104","3","North Milking Cows"
"1247","","US DD1635","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg ck-160D","2025-12-19","276","x","1","2025-12-19","Pregnant","","","","","","469","","","","","","11","Young stock"
"1248","","US DD1636","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg ck-140D","2025-12-19","256","","1","2025-12-19","Pregnant","","","","","","469","","","","","","11","Young stock"
"1249","","US DD1637","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg ck-50D","2025-12-19","166","","1","2025-12-19","Pregnant","","","","","","469","","","","","","11","Young stock"
"1250","","US DD1638","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg ck-140D","2025-12-19","256","","1","2025-12-19","Pregnant","","","","","","469","","","","","","11","Young stock"
"1251","","US DD1639","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"60","3087116","US DD1640","2026-04-13","15","36.8","13","61","","1.6","1.3","1.37","1","36.8","0.9","- |  - |  - |  -","","","","13.12","0.38","","","","","","","","","","76","68","58","74","99.7","469","0","","6","636","104","3","North Milking Cows"
"1253","","US DD1641","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
