"Animal Number","Sick Change Status","Sick Chance","Animal Life No. ","Lactation No.","Lactation days","Day Production","Reproduction Status","Sire","Last Insemination","Inseminate","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Too Late for Milking","Milk Visit Yield","Day Production (24h)","Nr of Refusal","Last Milk","Train Cow","Calving Date","Animal Tag Id"
"AVG","","","","","","","","","","","","","","","","21.0","26.5","","","","",""
"SUM","","","","","","","","","","","","","","","","","","","","","",""
"234","","","DD1496","2","202","80.7","Pregnant","LUCKYCHARM SEXED","2025-12-22","","112","108","2026-09-28","In Lactation","","17.6","80.7","0","x","","2025-09-23","6635136"
"250","","","DD1500","1","250","46.1","Open Cyclic","ANGUS BLEND 17","2026-01-28","","","","","In Lactation","","21.8","46.1","0","x","","2025-08-06","6635110"
"72","","","DD1501","2","61","80.9","Open Cyclic","","","","","","","In Lactation","","30.6","80.9","0","x","","2026-02-11","3087950"
"125","","","DD1502","1","351","38.6","Pregnant","GIANT","2025-09-19","","206","14","2026-06-26","In Lactation","","18.3","38.6","0","x","","2025-04-27","3087179"
"50","","","DD1503","1","271","59.5","Pregnant","CHAROLAIS BLEND 4","2026-01-28","","75","145","2026-11-04","In Lactation","","19.2","59.5","2","x","","2025-07-16","3086511"
"77","","x","DD1365","4","53","65.7","Open","","","","","","","In Lactation","","27.8","65.7","0","x","","2026-02-19","3086851"
"172","","","DD1505","1","249","48.1","Pregnant","SAVYSTRIDE","2025-11-10","","154","66","2026-08-17","In Lactation","","22.5","48.1","0","x","","2025-08-07","3351267"
"220","","","DD1506","1","423","","Pregnant","","2025-08-05","","251","","2026-05-12","Dry Off","","17.0","","1","x","","2025-02-14","6633304"
"213","","","DD1507","1","271","66.6","Pregnant","ADAGIO","2026-02-08","","64","156","2026-11-15","In Lactation","","24.9","66.6","0","x","","2025-07-16","6635043"
"53","","","DD1508","1","277","81.3","Pregnant","CHAROLAIS BLEND 4","2026-02-02","","70","150","2026-11-09","In Lactation","","26.7","81.3","0","x","","2025-07-10","3086247"
"55","","","DD1510","1","285","37.9","Pregnant","GIANT","2025-10-31","","164","56","2026-08-07","In Lactation","x","10.6","37.9","0","x","","2025-07-02","3183487"
"214","","","DD1511","1","303","60.8","Pregnant","ANGUS BLEND 17","2025-10-27","","168","52","2026-08-03","In Lactation","","25.1","60.8","0","x","","2025-06-14","6635135"
"1141","","","DD1512","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-09-08",""
"183","","","DD1513","1","273","73.4","Pregnant","ANGUS BLEND 17","2026-01-02","","101","119","2026-10-09","In Lactation","","22.9","73.4","3","x","","2025-07-14","3087417"
"41","","","DD1514","1","281","73.2","Pregnant","SAVYSTRIDE","2025-11-10","","154","66","2026-08-17","In Lactation","","21.2","73.2","0","x","","2025-07-06","3087391"
"808","","","DD1521","1","242","58.0","Pregnant","POWERHOUSE -SEXED","2025-12-23","","111","109","2026-09-29","In Lactation","","19.0","58.0","0","x","","2025-08-14","3087269"
"87","","","DD1522","1","302","55.1","Pregnant","DO IT NOW SEXED","2025-09-02","","223","-3","2026-06-09","In Lactation","","29.3","55.1","11","x","","2025-06-15","3087609"
"82","","","DD1523","1","287","37.5","Pregnant","BOLDNESS SEXED","2025-10-08","","187","33","2026-07-15","In Lactation","x","17.0","37.5","0","x","","2025-06-30","3087220"
