"Animal Number","Sick Change Status","Sick Chance","Animal Life No. ","Lactation No.","Lactation days","Day Production","Reproduction Status","Sire","Last Insemination","Inseminate","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Too Late for Milking","Milk Visit Yield","Day Production (24h)","Nr of Refusal","Last Milk","Train Cow","Calving Date","Animal Tag Id"
"AVG","","","","","","","","","","","","","","","","21.1","27.1","","","","",""
"SUM","","","","","","","","","","","","","","","","","","","","","",""
"199","","","DD1470","2","204","99.6","Pregnant","POWERHOUSE -SEXED","2025-12-16","","112","108","2026-09-22","In Lactation","","30.6","99.6","0","x","","2025-09-15","6633146"
"23","","","DD1471","1","364","54.9","Pregnant","GIANT","2025-09-23","","196","24","2026-06-30","In Lactation","","26.7","54.9","0","x","","2025-04-08","3087231"
"127","","","DD1474","2","202","58.0","Inseminated","ANGUS BLEND 17","2026-03-30","","","","","In Lactation","","22.7","58.0","1","x","","2025-09-17","3086217"
"94","","","DD1476","2","193","68.6","Inseminated","SAVYSTRIDE","2026-04-02","","","","","In Lactation","","27.6","68.6","0","x","","2025-09-26","3087594"
"26","","x","DD1478","2","242","95.7","Pregnant","ANGUS BLEND 17","2025-10-31","","158","62","2026-08-07","In Lactation","x","16.8","95.7","1","x","","2025-08-08","3087118"
"108","","","DD1479","2","234","84.4","Pregnant","BOLDNESS SEXED","2025-12-23","","105","115","2026-09-29","In Lactation","","26.9","84.4","0","x","","2025-08-16","3542732"
"162","","","DD1482","2","205","71.6","Pregnant","BOLDNESS SEXED","2025-12-23","","105","115","2026-09-29","In Lactation","","30.0","71.6","1","x","","2025-09-14","5926949"
"152","","","DD1484","2","85","99.4","Inseminated","MITCHELL sexed","2026-03-19","x","","","","In Lactation","","30.0","99.4","0","x","","2026-01-12","3353711"
"1108","","","DD1485","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-06-11",""
"124","","","DD1486","2","218","67.7","Pregnant","SAVYSTRIDE","2025-11-27","","131","89","2026-09-03","In Lactation","","19.8","67.7","3","x","","2025-09-01","3087250"
"98","","","DD1487","2","111","113.3","Inseminated","SAVYSTRIDE","2026-03-30","","","","","In Lactation","","24.9","113.3","0","x","","2025-12-17","3087882"
"49","","","DD1488","1","364","","Pregnant","GAMEREADY SEXED","2025-07-15","","266","","2026-04-21","Dry Off","","32.8","","0","x","","2025-04-08","3086283"
"31","","","DD1394","4","105","89.1","Inseminated","DO IT NOW SEXED","2026-03-14","","","","","In Lactation","","19.8","89.1","0","x","","2025-12-23","3087281"
"142","","","DD1376","3","533","","Pregnant","CHAROLAIS BLEND 4","2025-08-05","","245","","2026-05-12","Dry Off","","19.6","","2","x","","2024-10-21","3086184"
"97","","","DD1373","3","478","","Pregnant","ANGUS BLEND 17","2025-10-08","","181","","2026-07-15","Dry Off","","6.2","","110","x","","2024-12-15","3088051"
"40","","","DD1397","4","135","88.6","Open Cyclic","","","","","","","In Lactation","","17.9","88.6","0","x","","2025-11-23","3087510"
"116","","","DD1407","3","374","","Pregnant","GAMEREADY SEXED","2025-07-15","","266","","2026-04-21","Dry Off","","11.5","","0","x","","2025-03-29","3086998"
"35","","","DD1400","3","379","","Pregnant","darkmatter sexed","2025-07-24","","257","","2026-04-30","Dry Off","","19.2","","0","x","","2025-03-24","3087215"
"133","","","DD1374","4","228","63.7","Inseminated","CHAROLAIS BLEND 4","2026-02-24","x","","","","In Lactation","","18.5","63.7","0","x","","2025-08-22","3087396"
"28","","","DD1380","4","156","56.9","Open Cyclic","","","","","","","In Lactation","","23.1","56.9","0","x","","2025-11-02","3087460"
"91","","","US DD1396","3","454","53.4","Pregnant","ANGUS BLEND 17","2025-11-07","","151","69","2026-08-14","In Lactation","","19.8","53.4","1","x","","2025-01-08","3087334"
"151","","","DD1489","","","0.0","Inseminated","POWERHOUSE -SEXED","2025-12-19","","","","","Young Stock","","","0.0","0","","","2022-07-08","3086706"
"24","","","DD1490","2","123","86.6","Inseminated","ANGUS BLEND 17","2026-03-17","x","","","","In Lactation","","17.9","86.6","2","x","","2025-12-05","3086116"
"95","","","DD1493","2","279","59.5","Pregnant","BOLDNESS SEXED","2025-09-24","","195","25","2026-07-01","In Lactation","","13.7","59.5","4","x","","2025-07-02","3086498"
"32","","","DD1494","2","106","104.3","Inseminated","SAVYSTRIDE","2026-02-28","","","","","In Lactation","","20.7","104.3","0","x","","2025-12-22","3087545"
"47","","","DD1495","2","45","123.2","Open","","","","","","","In Lactation","","18.7","123.2","3","x","","2026-02-21","3087308"
"234","","","DD1496","2","196","83.1","Pregnant","LUCKYCHARM SEXED","2025-12-22","","106","114","2026-09-28","In Lactation","","20.9","83.1","0","x","","2025-09-23","6635136"
"250","","","DD1500","1","244","51.1","Open Cyclic","ANGUS BLEND 17","2026-01-28","","","","","In Lactation","","17.6","51.1","0","x","","2025-08-06","6635110"
"72","","","DD1501","2","55","91.7","Open Cyclic","","","","","","","In Lactation","","22.0","91.7","0","x","","2026-02-11","3087950"
"125","","","DD1502","1","345","36.2","Pregnant","GIANT","2025-09-19","","200","20","2026-06-26","In Lactation","x","12.8","36.2","0","x","","2025-04-27","3087179"
"50","","","DD1503","1","265","62.4","Pregnant","CHAROLAIS BLEND 4","2026-01-28","","69","151","2026-11-04","In Lactation","","23.1","62.4","0","x","","2025-07-16","3086511"
"77","","x","DD1365","4","47","65.7","Open","","","","","","","In Lactation","x","21.2","65.7","2","x","","2026-02-19","3086851"
"172","","","DD1505","1","243","56.2","Pregnant","SAVYSTRIDE","2025-11-10","","148","72","2026-08-17","In Lactation","","19.2","56.2","0","x","","2025-08-07","3351267"
"220","","","DD1506","1","417","","Pregnant","","2025-08-05","","245","","2026-05-12","Dry Off","","17.0","","1","x","","2025-02-14","6633304"
"213","","","DD1507","1","265","64.8","Pregnant","ADAGIO","2026-02-08","","58","162","2026-11-15","In Lactation","","32.4","64.8","0","x","","2025-07-16","6635043"
"53","","","DD1508","1","271","81.6","Pregnant","CHAROLAIS BLEND 4","2026-02-02","","64","156","2026-11-09","In Lactation","","21.2","81.6","0","x","","2025-07-10","3086247"
