"Animal Number","Robot","Animal Tag Id","Animal Life No. ","Group","Location","Lactation No.","Lactation days","Reproduction Status","Last Insemination","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Gender"
"1349","","","US DD1865","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1350","","","US DD1866","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1351","","","US DD1867","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1353","","","US DD1869","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1354","","","US DD1870","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1355","","","US DD1872","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1356","","","US DD1873","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1357","","","US DD1874","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1358","","","US DD1875","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1359","","","US DD1876","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1360","","","US DD1877","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1361","","","US DD1878","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1362","","","US DD1879","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1363","","","US DD1880","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1364","","","US DD1882","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1365","","","US DD1883","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1366","","","US 1884","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1367","","","US 1885","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1368","","","US DD1886","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1369","","","US DD1887","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1370","","","US DD1888","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1371","","","US DD1889","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1373","","","US DD1891","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1374","","","US DD1892","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1375","","","US 1893","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1376","","","US DD1894","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1378","","","US DD1896","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1379","","","US DD1897","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1380","","","US DD1898","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1381","","","US DD1899","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1382","","","US DD1900","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1383","","","US DD1901","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1384","","","US DD1902","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1385","","","US DD1903","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1386","","","US DD1904","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1387","","","US DD1905","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1388","","","US DD1906","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1389","","","US DD907","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1390","","","US DD1908","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1391","","","US DD1909","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1392","","","US DD1910","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1393","","","US DD1911","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1394","","","US DD1912","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
